,ppreg4,ppmarit5,ppeducat,D1G,SL1,ppemploy,ED5,SL7,B10,ppagecat,ppgender,ppethm
0,Northeast,Never married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,10 - Completely satisfied,75+,Female,White
1,Northeast,Never married,Bachelor's degree or higher,No,No,Not working,No response,No,9,75+,Female,White
2,West,Divorced,College's degree,No,No,Working full-time,About the same,No,8,45-54,Male,Hispanic
3,South,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,10 - Completely satisfied,75+,Female,White
4,South,Divorced,Bachelor's degree or higher,No,No,Working part-time,No response,No,4,65-74,Female,White
5,Midwest,Divorced,High school graduate,No,No,Working full-time,No response,No,6,45-54,Female,White
6,Northeast,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Female,White
7,South,Divorced,College's degree,No,Yes,Working full-time,No response,No response,3,55-64,Female,Black
8,Midwest,Now married,College's degree,No,No,Working part-time,About the same,No,9,55-64,Female,White
9,South,Widowed,Bachelor's degree or higher,No,Yes,Not working,No response,No response,8,65-74,Female,White
10,Northeast,Now married,High school graduate,No,No,Working part-time,No response,No,8,55-64,Female,White
11,Midwest,Divorced,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,75+,Female,White
12,West,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Male,White
13,South,Divorced,Bachelor's degree or higher,No,No,Not working,No response,No,7,65-74,Female,White
14,Northeast,Now married,High school graduate,No,No,Not working,No response,No,0 - Not at all satisfied,75+,Female,White
15,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,9,65-74,Female,Other
16,Northeast,Now married,High school graduate,No,Yes,Working full-time,Financial benefits are much larger,No response,9,55-64,Male,White
17,South,Divorced,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Female,White
18,South,Now married,College's degree,No,No,Not working,Financial costs are much larger,No,3,75+,Male,White
19,West,Divorced,College's degree,No,No,Working full-time,About the same,No,5,45-54,Male,White
20,Northeast,Now married,College's degree,No,Yes,Working full-time,No response,No response,4,45-54,Male,White
21,West,Widowed,College's degree,No,No,Not working,Financial benefits are much larger,No,6,75+,Female,Other
22,South,Now married,No high school diploma,No,No,Not working,No response,No,7,55-64,Female,Other
23,West,Now married,College's degree,No,No,Working full-time,Financial costs are much larger,No,0 - Not at all satisfied,75+,Male,White
24,Midwest,Now married,High school graduate,No,No,Not working,No response,No,8,75+,Male,White
25,West,Now married,College's degree,No,No,Working full-time,No response,No,6,45-54,Male,White
26,West,Widowed,College's degree,No,No,Not working,Financial costs are somewhat larger,No,4,75+,Female,White
27,Northeast,Now married,High school graduate,No,No,Working full-time,No response,No,7,45-54,Male,White
28,Midwest,Divorced,High school graduate,No,No,Not working,No response,No,8,75+,Female,Black
29,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Male,White
30,South,Now married,High school graduate,No,No,Working full-time,No response,No,9,55-64,Female,Black
31,South,Now married,College's degree,No,No,Working full-time,Financial benefits are much larger,No,7,45-54,Female,Other
32,West,Now married,College's degree,No,No,Working full-time,Financial benefits are much larger,No,5,65-74,Male,Hispanic
33,Northeast,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,6,45-54,Male,Hispanic
34,West,Now married,High school graduate,No,No,Working full-time,No response,No,8,65-74,Male,Hispanic
35,Midwest,Divorced,High school graduate,No,No,Not working,Financial costs are much larger,No,4,45-54,Female,Black
36,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,55-64,Male,White
37,Midwest,Now married,Bachelor's degree or higher,No,Yes,Not working,No response,No response,8,75+,Male,White
38,Midwest,Divorced,High school graduate,No,No,Working full-time,No response,No,4,55-64,Female,White
39,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,55-64,Male,White
40,Midwest,Now married,College's degree,No,No,Working part-time,Financial benefits are much larger,No,8,75+,Male,White
41,South,Divorced,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,10 - Completely satisfied,55-64,Female,Black
42,Midwest,Now married,College's degree,No,No,Working full-time,No response,Yes,5,55-64,Female,White
43,South,Now married,High school graduate,No,No,Not working,No response,No,9,75+,Male,White
44,Northeast,Widowed,High school graduate,No,No,Not working,No response,No,8,75+,Female,White
45,Northeast,Now married,High school graduate,No,No,Working full-time,Financial benefits are much larger,Yes,7,55-64,Male,Other
46,Northeast,Now married,College's degree,No,No,Working full-time,No response,No,6,35-44,Male,White
47,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,45-54,Male,White
48,West,Now married,College's degree,No,No,Working part-time,About the same,No,5,55-64,Male,White
49,Northeast,Divorced,Bachelor's degree or higher,No,No,Not working,No response,No,2,65-74,Female,Other
50,South,Now married,High school graduate,No,No,Not working,No response,No,8,55-64,Female,Black
51,Midwest,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,7,65-74,Male,White
52,Northeast,Now married,High school graduate,No,No,Not working,No response,No,4,55-64,Female,White
53,West,Never married,College's degree,No,No,Working full-time,Financial costs are much larger,No,6,55-64,Male,Other
54,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,65-74,Male,Other
55,Northeast,Never married,High school graduate,No,No,Not working,No response,No,0 - Not at all satisfied,18-24,Male,White
56,West,Now married,College's degree,No,No,Working part-time,Financial benefits are much larger,No,8,65-74,Female,Other
57,Northeast,Widowed,College's degree,No,No,Not working,No response,No,6,75+,Male,White
58,Midwest,Now married,College's degree,No,No,Working full-time,No response,No,4,55-64,Male,White
59,West,Now married,High school graduate,No,No,Not working,Financial benefits are much larger,Yes,7,65-74,Female,White
60,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Female,White
61,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,3,55-64,Female,White
62,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,9,35-44,Male,White
63,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,55-64,Male,White
64,West,Divorced,Bachelor's degree or higher,No,No,Not working,No response,No,6,75+,Female,White
65,South,Now married,High school graduate,No,No,Working full-time,No response,No,9,55-64,Male,White
66,West,Widowed,High school graduate,No,No,Not working,No response,No,4,75+,Female,White
67,South,Now married,High school graduate,No,No,Working full-time,No response,No,9,45-54,Male,White
68,West,Divorced,High school graduate,No,No,Not working,About the same,No,8,75+,Female,White
69,Northeast,Never married,Bachelor's degree or higher,No,No,Not working,No response,No,6,65-74,Female,White
